YEAR,PLAYER,TEAM,SALARY,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,RK
2015,Robert Sacre,Los Angeles Lakers,981348.0,27,25,2,23,12.8,3.5,1.2,3.0,41.3,0.0,0.0,0.0,1.0,1.5,65.8,1.3,1.6,2.9,0.6,0.5,0.2,0.4,1.7,9.0,0,0,-1.3,372.0
2015,Roy Hibbert,Los Angeles Lakers,15592217.0,29,81,17,64,23.2,5.9,2.2,5.1,44.3,0.0,0.0,0.0,1.4,1.8,80.7,1.6,3.3,4.9,1.2,0.9,0.4,1.4,3.1,17.9,3,0,-8.4,29.0
2015,Ryan Kelly,Los Angeles Lakers,1724250.0,25,36,3,33,13.1,4.2,1.5,4.1,36.9,0.1,1.0,13.5,1.0,1.5,68.5,0.6,2.8,3.4,0.6,0.5,0.4,0.3,1.1,10.5,0,0,0.0,288.0
2015,Tarik Black,Los Angeles Lakers,845059.0,24,39,6,33,12.7,3.4,1.5,2.7,54.8,0.0,0.0,0.0,0.5,1.2,42.2,1.1,2.9,4.0,0.4,0.6,0.4,0.5,2.0,10.8,0,0,0.5,443.0
2016,Brandon Ingram,Los Angeles Lakers,5281680.0,19,79,26,53,28.9,9.4,3.5,8.7,40.2,0.7,2.4,29.4,1.7,2.7,62.1,0.8,3.2,4.0,2.1,1.5,0.6,0.5,2.0,19.1,0,0,-4.8,185.0
2016,Corey Brewer,Los Angeles Lakers,7612172.0,31,24,7,17,14.9,5.4,2.2,5.0,43.8,0.2,1.0,20.8,0.8,1.0,75.0,0.5,1.7,2.2,1.5,0.8,1.0,0.3,1.2,13.4,0,0,-2.5,137.0
2016,D'Angelo Russell,Los Angeles Lakers,5332800.0,21,63,21,42,28.7,15.6,5.6,13.8,40.5,2.1,6.1,35.2,2.3,3.0,78.2,0.5,3.0,3.5,4.8,2.8,1.4,0.3,2.1,29.2,2,0,-5.7,182.0
2016,David Nwaba,Los Angeles Lakers,73528.0,24,20,5,15,19.9,6.0,2.4,4.1,58.0,0.1,0.3,20.0,1.3,2.0,64.1,0.9,2.3,3.2,0.7,0.6,0.7,0.4,1.8,13.3,0,0,0.5,578.0
2016,Ivica Zubac,Los Angeles Lakers,1034956.0,20,38,8,30,16.0,7.5,3.3,6.3,52.9,0.0,0.1,0.0,0.8,1.3,65.3,1.1,3.1,4.2,0.8,0.8,0.4,0.9,1.7,16.6,4,0,-3.5,372.0
2016,Jordan Clarkson,Los Angeles Lakers,12500000.0,25,82,26,56,29.2,14.7,5.8,13.1,44.5,1.4,4.3,32.9,1.6,2.0,79.8,0.6,2.4,3.0,2.6,2.0,1.1,0.1,1.8,23.7,0,0,-5.1,76.0
2016,Jose Calderon,Los Angeles Lakers,247991.0,35,24,6,18,12.2,3.3,1.3,3.2,41.6,0.5,1.4,35.3,0.2,0.2,100.0,0.3,1.4,1.8,2.1,1.1,0.3,0.0,0.9,8.5,0,0,-5.5,558.0
2016,Julius Randle,Los Angeles Lakers,3267120.0,22,74,24,50,28.8,13.2,5.1,10.4,48.8,0.2,0.9,27.0,2.8,3.8,72.3,2.0,6.6,8.6,3.6,2.3,0.7,0.5,3.4,30.0,18,3,-6.1,244.0
2016,Larry Nance Jr.,Los Angeles Lakers,1207680.0,24,63,21,42,22.9,7.1,3.0,5.7,52.6,0.2,0.6,27.8,0.9,1.3,73.8,1.9,4.0,5.9,1.5,0.9,1.3,0.6,2.4,21.3,7,0,-2.1,354.0
2016,Lou Williams,Los Angeles Lakers,7000000.0,30,58,19,39,24.2,18.6,5.6,12.7,44.4,2.1,5.5,38.5,5.2,5.9,88.4,0.2,2.0,2.3,3.2,2.1,1.1,0.2,1.2,27.9,0,0,0.5,144.0
2016,Luol Deng,Los Angeles Lakers,18000000.0,32,56,18,38,26.5,7.6,2.9,7.6,38.7,0.9,2.9,30.9,0.8,1.1,73.0,1.1,4.1,5.3,1.3,0.8,0.9,0.4,1.1,18.8,5,0,-3.5,33.0
2016,Metta World Peace,Los Angeles Lakers,980431.0,37,25,8,17,6.4,2.3,0.8,2.7,27.9,0.4,1.5,23.7,0.4,0.6,62.5,0.2,0.6,0.8,0.4,0.3,0.4,0.1,0.7,5.1,0,0,-2.4,412.0
2016,Nick Young,Los Angeles Lakers,5443918.0,32,60,19,41,25.9,13.2,4.5,10.6,43.0,2.8,7.0,40.4,1.3,1.5,85.6,0.4,1.9,2.3,1.0,0.6,0.6,0.2,2.3,19.3,0,0,-3.5,180.0
