,,0
FGA,FGA,1
FG%,FG%,1
3PM,3PM,1
3PA,3PA,1
+/-,+/-,1
3P%,3P%,1
FTA,FTA,1
FT%,FT%,1
OREB,OREB,1
DREB,DREB,1
REB,REB,1
AST,AST,1
TOV,TOV,1
STL,STL,1
BLK,BLK,1
PF,PF,1
FP,FP,1
DD2,DD2,1
FTM,FTM,1
RK,RK,1
